N_MODEL,embedding_size,hidden_size,n_layers,directions,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,300,500,1,1,0.7867183779377867,0.8248210602935825,0.7746192840395837,0.6846347137434071,0.18317422434367542,0.26786476560129
Model2,300,500,2,1,0.7986845064264699,0.8158437462089045,0.7828443688580101,0.6754941071318544,0.2822195704057279,0.3445227221596853
Model3,300,500,3,1,0.76249730126757,0.8228800194104088,0.7871351405479359,0.47996134572162663,0.27804295942720764,0.3359998694502606
Model4,300,500,1,2,0.8330652759103365,0.8598811112459056,0.8374713915139077,0.7069406292927127,0.39856801909307876,0.4971066037250761
Model5,300,500,2,2,0.8884134571228006,0.8602450564115006,0.8699594331783206,0.8130106022314953,0.6551312649164678,0.7164176797292768
Model6,300,500,3,2,0.8794476026618924,0.8859638481135509,0.8696364104790419,0.8597352850371223,0.4659904534606205,0.598481479291541
Model7,300,800,1,2,0.8531474610478357,0.864855028509038,0.8455676026009847,0.7802814818053218,0.4498806682577566,0.5369253860127516
Model8,300,800,2,2,0.8892911357465266,0.8979740385781876,0.889978049527705,0.8846865860079121,0.6014319809069213,0.7082413922987403
Model9,300,800,3,2,0.8962669265651161,0.8994298192405678,0.8862672756651945,0.9127431356496142,0.5346062052505967,0.662680757637755
